,,,,,,,,,,
,Application,Requirement,NFR,Entity,Key components,API,Object1,Object2,Objects,Objects
1,Youtube,"upload
watch","availability
latency
large files/resumable
scalability","user
video
video metadata
chunk","block storage - S3 - presigned URL, VideoMetadata DB
message queue - transcode/audit process - DAG
CDN
Adaptive bitrate streaming
chunk
Redis cache (video metadata)
Upload Monitor","POST /upload
GET /videos/{videoId}","VideoMetadata
- id
- title
- description
- user
- S3 URLs
- chunks",,,
2,Distributed Job Scheduler,"schedule jobs to execute (once or recurring)
monitor the status","availability
latency
scalability
at least once","user
jobs
tasks
schedule","Message queue
Task executor/coordinator/worker
scheduler/query
Idemportent 
SQS (visibility timeout)","POST /jobs{
     task
     schedule
     parameters
}
GET jobs?userid&status","Job
-id
-task
-schedule
-parameter
-userId
","Execution
-id
-jobId
-userId
-status
-started
-attempt",,
3,Yelp,"search
view
reviews","availability
latency
scalability","User
Business
Review","Elastic search (full-text, geosptical) - CDC
Cache (Redis) 
Rating - Optimistic Locking - review_num as version number
One user one review - db constraint
pre-defined location - geo_shape in elastic search","GET /business?query&location&category&page
GET /business/{businessId}
GET /business/{businessId}/reviews
POST /business/{businessId}/reviews{
     rating
     text
}","Business
- id
- lat
- long
- name
- address
- description
- category
- review_num
- avgRating
- locations","Review
- id
- businessId
- userId
- rating
- comments
- created
Location
- id
- name
- type
- points",,
4,Ticketmaster,"search
view
book","availability for search
consistent for book
latency
scalability","Event
Venue
Performer
Ticket
Booking","Elastic search ( full_text)
Redis (distributed lock - TTL), Cache
Message Queue (virtual waiting list) - web sockets
CDN, load balance","GET /events/{eventId}
GET /events/query&start_date&end_date&pageSize
POST /bookings/{eventId} {
  ticketIds
  paymentDetails
}","Event
- venus
- description
- performer
- date
- tickets
Ticket
- eventId
- seat
- price
- status
- userId","Venue
- id
- location
- seatMap
Performer
- id
- name
- decription
Booking
- id
- userId
- tickets",,
5,LeetCode,"search/view/code
submit
competition","availability
isolation
latency
scability","User
Problem
Submission
LeaderBoard","Container/Executor
Redis (Leaderboard)
Message Queue
Exectutor coordinator
running test case - serialzie/deserizalize for diff lang","GET /problems?page
GET /problems/{problemId}?language
POST /problems/{problemId}/submit{
    code
    language
}
GET /leaderboard/{competitionId}?page","Problem
- id
- title
- description
- code stubs
- test cases","Submissions
- id
- submitter
- submitTime
- language
- code
- test result
- errors",,
6,Strava,"create/pause/resumesave route - run/rides
record, view active data
view friends","availability
latency - accurate
reliability - no network
scability","User
Activity
Route
Friends","local storage (in-memory, file), 
local DB
activity cache, 
shard by time, 
data tiering (hot-cache, warm, cold - S3)
long pull
leaderboard - Redis, sorted set","POST /activities {
     type
}
PATCH /activities/{activityId} {
     state
}
POST /activities/{activityId}/routes {
    location
}
GET /activities?mode&starttime&page
GET /activities/{activityId}","Activity
-id
-type
-userId
-createdAt
-routes
-status
-statusEvent
-distance","Route
- activityId
- lat
- long
- timestamp
Friend
- user1
- user2
- createAt",,
7,Tinder,"create profile, distance
search/view potential matches
Swipe - yes/no
match notification","consist on match, available for search
latency
scalability
avoid previous swiped","Profile
Swipe
Match","elastic search - CDC
push notification system - APNS or FCM (firebase cloud message)
Redis - LUA script (swipt and matching checking as atomic operation)
Cassandar - swipe, Primary Key (from_user, to_user) - same partition, single partition transaction - atomic
Cache users (pre-computation + indexed DB - elastic search)
Cache/Bloomfilter (avoid previous swiped)","POST /profile {
  age_min
  age_max
  distance
  interestedIn
}
GET feed?lat&long
POST swipe/{userId} {
   decision
}","Profile
- id
- userId
- name
- description
- agePrefer
- genderPrefer
- maxDistance","Match 
- userpair
- user1
- user2
- like
- createdAt",,
8,Local Delivery,"query items by location/deliverable time
order ","availability on search
consistent on order items
latency
scalability","Item
Inventory
Distribution Center
Order/Order Item","elastic search - CDC
Availability Service/Nearby Service
Postgress transaction
first distance to get candidate/filter by travel time
cache, partition by region","GET availability?location&keyword&page
POST order {
    lat
    long
    items
}","DistributionCenter
  - name
  - lat
  - long
Inventory
  - id
  - itemId
  - quantity
  - DCId","Item
- id
- name
- description
Order
- id
- userId
- InventoryId
- quantity",,
9,Crawler,"Crawl from a set of seed URLs
Extract text data and processing","fault-tolarent
politeness
effieiency
scalability","URLs
Metadata
Pages","Frontier Queue - SQS/DLQ - Exponential backoff
S3
Parsing Queue
Rate limit (Redis), Robots.txt
DNS - caching, multiple providers
Bloom filter - URL scheduler
Webpage render",,"URL
- id
- url
- S3Link
- LastCrawlTime
- hash
- depth","Domain
- domain
- lastCralTime
- robots",,
10,Uber,"Get fare estimation
Request a ride
match driver
accept/decline the request","search availability
low latency
match consistency
scalability","Rider
Driver
Ride
Fare
Location","Matching Service
Mapping Service
Notification Service (APN, FCM)
Location - Redis with geohashing, Adpative location update
Distributed Lock by TTL - redis
Queue for matching
Geo-sharding","POST /fare {
    pickupLocation
    destination
}
POST /rides {
    fareId
}
POST drivers/location {
    lat/long
}
PATCH /rides/{rideId} {
    accept/reject
}","Fare
- id
- userId
- pickup
- destination
- price
- eta
Driver
- id
- name
- rating
- location
- vehicle","Ride
- id
- fareId
- rideId
- driverId
- pickup
- destimation
- status",,
11,Live Comments,"post comments
view comments - live and history","availability
low latency
scalability","User
Video
Comment","SSE (Serve-Send Event) - Realtime Messaging Service
Zookeeper/Consistent Hashing/Dispatcher
Cursor Pagination","POST /comments/{liveVideoId} {
    message
}
GET /comments/{liveVideoId}?cursor&page&sort","Comment
- id
- liveVideoId
- userId
- createAt
- content",,,
12,Ad Click Aggregator,"click ads redirect to advertiser's website
query ad click metrics","scabability
latency
fault tolerant/accuracy
Idempotent","Ads click data
Metrics","Ad placement service - Server side redirect - 302 redirect
click processor
Stream (Kinesis/Kafka) -> Flink
Hot Ads - AdID:0-N
Stream retention policy - flink down, re-processor 
Flink Stream processor (checkpointing, no need to use)
Reconcilation - raw data in S3
Itempotent key- impression ID - dedup
pre-aggegating in OLAP",,"Advertisement
- AdId
- RedirectUrl
- metadata 
- ImpressionID
Aggregated Data
- AdId
- AdvertisedId(PK)
- click count
- minute (SK)",,,
13,Top-K,"view top-K video for a given period (1 hour, day, week, month) and all time","latecy - 1 min delay after view
precise - no approximate
massive views/videos
query - 100 ms
economical","Video
View
Time Window","Kafka (Stream)
Top-K Heap, Count, Snapshot (Blob, for recover)
Consistent Hashing + Zoopkeeper (video ID)
Top-K service
Start/Tear-down - delay event, increase start, decrease tear-down. Kafka retention period 1 month, 2K record for top-K.
Top-K cache with 1 min TTL",GET /views/top?window&k,,,,
14,Google News,"view aggregated feed from thousands of source
scroll through the feed - infinitley
click article to redirect","availability
latency
scalability","User
Source/Publisher
Article","Collection Service (RSS), S3 (Thumbnial)
Feed Service
cursor based pagination - cursor - artical id (unique chronologically - ULIDs/snowflake)
Redis sorted set (Region based) + CDC
intelligent scheduler - fingerprint to identify new content
web scraping + RSS feed
or publisher webhooks with fallback polling
S3 + CDN
auto scaling + cache replica",GET /feed?page&region,"Article
- id
- title
- summary
- thumbnailUrl
- publishDate
- url
- hash","Publisher
- id
- name
- url
- rssFeedUrl
- lastScraped
- priority
- scrapedType",,
15,Price Tracking Service,"view price history for amazon products
subscribe price drop notification","availability
latency
scalability
drop notification within 1 hour","product
price history
user
subscription","web crawler (haven't viewed by users-chrome, discover new products, verify suspcious data)
price history service
subscription service
Notification Cron
Chrome extensions-> price update service.
CDC -> Price Change Stream(Kafka) - worker to notification or dual write
TimescaleDB (time-series extension for PostgreSQL)","GET /products/{productID}/price?period&granularity
POST /subscriptions
{
     productId
     priceThreshold
     notificationType
}","Product
- id
- amazonId
- lastScraped
Price
- id
- productId
- timestamp
- price","Subscription
- id
- userId
- productId
- priceThreshold
- notiricationType",,
16,Auction,"create auction
bid, accpet when it is higher current highest
see bid history","high consistent on bid
fault-toralent, durable
low latency to see the auction bid's
scablability","User
Auction
Item
Bid","Auction service, bid service
maxbidprice in auction, use this one as version, update where
bid message queue (durable)
SSE - auctions/bid users, pub/sub
SQS (visiable timeout), notification (APN, FCM)","POST /auctions {
   item
   start
   end
   startPrice
}
POST /auctions/{auctionId}/bids {
   bid
}
GET /auctions/{actionsId}","Auction
- id
- itemId
- startTime
- endTime
- startPrice
- bidPrice
- status
Item
- id
- name
- description
- imageUrl","Bid
- id
- AuctionId
- price
- userId
- status
- createAt",,
17,Whatsapp,"create chat group
send/receive message
offline message
media","availability
gurantee deliverability
low latency
scalability
not store message centrilized if not necessary","Users
Chats
Messages
Clients
","Web sockets /L4 LB, chat server
GSI (participant) - Primary Key chatid
Message InBox
sent message, ack, delete from message inbox
S3/block storage
ChatId - pub/sub, okay for at most once, 
InBox based on client","web socket message
createChat
sendMessage
createAttachement
add/removeChatParticipants

ack
chatUpdate
newMessage","Chat
- id
- name
- metadata

Participant
- chatId
- participantId","Message
- id
- user
- chatId
- sentAt
- content
Inbox
- reciptentClientId
- messageId
Client
-id
-userId
-type",,
