题号,标题,链接,核心思路,是否重点
1,1. Two Sum,https://leetcode.com/problems/two-sum/,比较长度，记录最长的那个。,否
2,2. 两数相加,https://leetcode.com/problems/add-two-numbers/,待补充,否
3,3. Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters/,待补充,否
4,4. Median of Two Sorted Arrays,https://leetcode.com/problems/median-of-two-sorted-arrays/description/,"k=(n1+n2+1)/2, 取较小的nums 数组，二分查询，得到m1，m2=k-m1-1;  nums1[m1] > nums2[m2], m1要缩小，right=m1，否则增加 left=m1+1；找到m1，m2=k-m1，算m1-1，m2-1的最大值和m1 和m2的最小值，如果n1+n2整除，那么最大值+最小值/2，否则，最大值。",否
5,5. Longest Palindromic Substring,https://leetcode.com/problems/longest-palindromic-substring/,找到i，j往外扩展的palindrom string，然后遍历数组,是
6,6. Zigzag Conversion,https://leetcode.com/problems/zigzag-conversion/,记录每行字符串，记录一个方向，+，i++，-，i—，如果当前为0或者numRows-1，改变方向,否
9,9. Palindrome Number,https://leetcode.com/problems/palindrome-number/,**转为字符串，用left，right指针判断,否
11,11. Container With Most Water,https://leetcode.com/problems/container-with-most-water/,待补充,否
14,14. 最长公共前缀,https://leetcode.com/problems/longest-common-prefix/,用index i拿到数组每个字符串第i字符比较,否
15,15. 3Sum,https://leetcode.com/problems/3sum/,排序，去除重复的，转化为2sum的问题。,是
19,19. Remove Nth Node From End of List,https://leetcode.com/problems/remove-nth-node-from-end-of-list/,因为要记住前一个节点，从dummy开始,否
20,20. 有效的括号,https://leetcode.com/problems/valid-parentheses/,"遇到{[(压入}]),遇到}])pop。如果不同，那么false，最后stack为空，为true",否
21,21. Merge Two Sorted Lists,https://leetcode.com/problems/merge-two-sorted-lists/,将result的指针从dummy开始,否
23,23. Merge k Sorted Lists,https://leetcode.com/problems/merge-k-sorted-lists/,"利用heap/PriorityQueue，比较函数(a,b)→(a.val-b.val)",否
25,25. Reverse Nodes in k-Group,https://leetcode.com/problems/reverse-nodes-in-k-group/,用递归，拿到succesor head.next = successor,否
26,26. Remove Duplicates from Sorted Array,https://leetcode.com/problems/remove-duplicates-from-sorted-array/,27，283快慢指针,否
27,27. Remove Element,https://leetcode.com/problems/remove-element/,待补充,否
28,28. Find the Index of the First Occurrence in a String,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string/description/,** index=0 - haystack-needle，如果当前字符是needle第一个字符，substring 看看是不是符合needle，否则继续。,否
30,30. Substring with Concatenation of All Words,https://leetcode.com/problems/substring-with-concatenation-of-all-words/description/,记录单词长度，总长度（单词长度*word length），从0-word 长度都可以开始，用一个hashmap记录target word count，slide window map，如果发现当前的word count大于target word count，缩小window （left+word count），如果count == target count，记录left，否则 增加right长度，如果当前word没在target中，那么 left = right，清除slide window map，count为0.,是
